Event,Site,Date,Round,White,Black,Result,CurrentPosition,Timezone,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,TimeControl,Termination,StartTime,EndDate,EndTime,Link,Moves
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,jefferyx,1-0,8/3k4/p1bBRp2/2K2P2/p1P3r1/P2P4/1P6/8 b - -,UTC,B20,https://www.chess.com/openings/Sicilian-Defense-Mengarini-Variation-2...g6,2023.01.03,17:03:03,3189,2977,180+1,MagnusCarlsen won by resignation,17:03:03,2023.01.03,17:10:28,https://www.chess.com/game/live/66504261925,e4 c5 a3 g6 h4 d5 h5 Bg7 exd5 Qxd5 Nc3 Qd8 Bc4 Nc6 d3 Nd4 Nf3 gxh5 Nxd4 cxd4 Qxh5 e6 Ne4 Nf6 Qg5 Rg8 Bb5+ Kf8 Rxh7 Qe7 Rxg7 Rxg7 Qxf6 Qxf6 Nxf6 Rxg2 Kf1 Rg6 Bg5 Ke7 f4 Rxf6 Ke2 a6 Ba4 b5 Rh1 bxa4 Rh6 Bb7 Bxf6+ Kd6 Rh7 Rg8 Bxd4 Rg2+ Bf2 Ke7 c4 Bc6 Ke3 Rg8 Bh4+ Ke8 Bf6 Rg6 Be5 f6 Bd6 Rg3+ Kd4 Rg6 Re7+ Kd8 Rxe6 Kd7 f5 Rg4+ Kc5
Live Chess,Chess.com,2023.01.03,-,Jospem,MagnusCarlsen,1-0,6R1/8/8/8/4K3/4B3/r4k2/8 b - -,UTC,B06,https://www.chess.com/openings/Modern-Defense-Norwegian-Defense-3.e5-Nh5-4.g4-Ng7,2023.01.03,17:13:19,3051,3178,180+1,Jospem won on time,17:13:19,2023.01.03,17:22:49,https://www.chess.com/game/live/66505201927,e4 g6 d4 Nf6 e5 Nh5 g4 Ng7 Bc4 d5 exd6 cxd6 Nc3 Nc6 h3 h5 gxh5 Rxh5 Be3 Nf5 Qd2 Bg7 Nge2 Na5 Bb5+ Bd7 Bxd7+ Qxd7 b3 Nc6 O-O-O Rh4 Bg5 Rxd4 Nxd4 Ncxd4 Qd3 Rc8 Bd2 Qc6 Rhe1 Nf3 Nd5 Nxe1 Rxe1 e6 Nf4 Qc5 Qe4 Qd4 Kd1 Qxe4 Rxe4 Kd7 Ra4 a6 c4 Bd4 Ke2 Rh8 b4 e5 Nd5 Rxh3 b5 axb5 cxb5 Bc5 Nf6+ Ke6 Ne4 Nd4+ Rxd4 Ra3 Nxc5+ dxc5 Rd8 Rxa2 Rb8 c4 Kd1 c3 Bxc3 Rxf2 Rxb7 Kd5 Rc7 Rf6 Ba5 Rd6 b6 Rd8 b7 Rb8 Bb6 Kd6 Rxf7 Kc6 Be3 Rxb7 Rf6+ Kd5 Rxg6 Rb2 Rg4 Ra2 Bd2 Ra1+ Kc2 Ra2+ Kc1 Ra1+ Kb2 Rh1 Bc3 Rh2+ Kb3 Rh3 Kc2 Rh2+ Bd2 Rh3 Ra4 Rf3 Bc3 Rf2+ Kb3 Re2 Ra5+ Ke6 Kc4 Re3 Bb2 Kf5 Rb5 Ke6 Bc1 Re1 Bd2 Re4+ Kd3 Rd4+ Ke3 Kf5 Bc3 Re4+ Kd3 Kf4 Bd2+ Kf5 Bc3 Kf4 Rb8 Re3+ Kc4 Re2 Re8 Kf5 Kd5 e4 Bd4 Kf4 Rf8+ Kg3 Ke5 e3 Ke4 Ra2 Rg8+ Kf2 Bxe3+
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,Fandorine,0-1,3r3Q/4kp2/2p1b3/2P4p/3p4/1N1qn3/1K6/2B4R w - -,UTC,A06,https://www.chess.com/openings/Reti-Opening-Nimzowitsch-Larsen-Attack-2...Nf6-3.Bb2-g6-4.g3,2023.01.03,17:24:13,3165,2956,180+1,Fandorine won on time,17:24:13,2023.01.03,17:31:30,https://www.chess.com/game/live/66505817933,b3 g6 Bb2 Nf6 g3 d5 Nf3 c5 Bg2 h5 c4 d4 b4 h4 Nxh4 e5 d3 cxb4 a3 Nc6 Nd2 Rxh4 gxh4 Nh5 Bxc6+ bxc6 Qa4 Bd7 axb4 Nf4 Bc1 Qxh4 Kd1 Qxf2 Kc2 Qxe2 Ra3 a5 Rb3 Bxb4 c5 Nd5 h4 Nc3 Qa1 Rb8 Rxb4 axb4 Qa7 Rd8 h5 gxh5 Qc7 Nd5 Qd6 b3+ Kb2 Qxd3 Qxe5+ Be6 Nxb3 Ne3 Qh8+ Ke7
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,Sam_ChessMood,1-0,5k2/5Q2/p2q2B1/4p1PP/P3Pp2/2P2P1K/8/3r4 b - -,UTC,A00,https://www.chess.com/openings/Ware-Opening,2023.01.03,17:39:45,3167,2855,180+1,MagnusCarlsen won by checkmate,17:39:45,2023.01.03,17:47:37,https://www.chess.com/game/live/66506572635,a4 Nf6 d4 d5 Nf3 Bf5 Nh4 Be4 f3 Bg6 Nc3 c5 e4 cxd4 Nxg6 hxg6 Qxd4 Nc6 Qf2 d4 Nd1 e5 Bc4 Rc8 Qe2 Bb4+ Kf1 Na5 Bd3 O-O Nf2 Qb6 h4 Nh5 Rh3 Qf6 g4 Nf4 Bxf4 Qxf4 h5 g5 Rd1 a6 Kg2 Rc7 Rhh1 Rfc8 Nh3 Qf6 Ra1 Nc6 Rhc1 Bd6 Qd2 Bb4 c3 Be7 Nf2 dxc3 bxc3 Nd8 Bb1 Ne6 Nh3 Bc5 Ba2 Rd8 Qe2 Nf4+ Nxf4 gxf4 Kh3 g6 Rd1 Rcd7 Rxd7 Rxd7 Rd1 Bf2 Bxf7+ Kf8 Qxf2 Rxd1 Bxg6 Qd6 g5 Qd3 Qc5+ Qd6 Qc8+ Kg7 Qxb7+ Kf8 Qf7#
Live Chess,Chess.com,2023.01.03,-,AbasovN,MagnusCarlsen,0-1,5rk1/1bp1Bpbp/p5p1/8/P2r4/1qN2QP1/1P1n1P1P/R3RBK1 w - -,UTC,A49,https://www.chess.com/openings/Indian-Game-East-Indian-Przepiorka-Variation,2023.01.03,17:50:50,2937,3170,180+1,MagnusCarlsen won on time,17:50:50,2023.01.03,17:56:48,https://www.chess.com/game/live/66507203075,d4 Nf6 Nf3 g6 g3 b5 e3 a6 a4 b4 c4 bxc3 Nxc3 Bb7 Bd3 Bg7 e4 d6 O-O O-O Re1 Nbd7 Bf4 e5 dxe5 dxe5 Nxe5 Nh5 Nxd7 Qxd7 Be3 Rad8 Bc4 Qh3 Qf3 Nf6 Bf1 Qe6 Bg5 Rd4 Nd5 Nxe4 Nc3 Qb3 Be7 Nd2
Live Chess,Chess.com,2023.01.03,-,Hikaru,MagnusCarlsen,1-0,8/p1k5/8/1bn4p/2N2q1P/2R5/BP1R4/K7 b - -,UTC,B20,https://www.chess.com/openings/Sicilian-Defense-Mengarini-Variation-2...g6,2023.01.03,18:00:32,3227,3163,180+1,Hikaru won on time,18:00:32,2023.01.03,18:08:29,https://www.chess.com/game/live/66507798415,a3 g6 e4 c5 Bc4 Bg7 Nc3 Nc6 Nge2 e6 d3 Nge7 h4 h5 Bg5 d6 Qd2 Qd7 Ba2 b6 O-O-O Bb7 Kb1 O-O-O Qf4 f6 Bxf6 Rhf8 Bxg7 Rxf4 Nxf4 d5 Bf6 Rf8 Bg5 Nd4 f3 b5 Bxe7 Qxe7 Nxg6 Qg7 Nxf8 Qxf8 Rhe1 Qg8 exd5 Qxg2 dxe6 Qxc2+ Ka1 Bc6 e7 Be8 Ne4 Qh2 Rh1 Qe5 Rc1 c4 dxc4 b4 axb4 Qxe7 c5 Ba4 Rhg1 Nc2+ Kb1 Nxb4 Nd6+ Kd7 Rc4 Qe3 c6+ Bxc6 Rd1 Qe2 Rcc1 Nd3 Nc4 Kc7 Rd2 Qxf3 Rcd1 Be4 Ka1 Qf4 Bb1 Nc5 Ba2 Bc6 Rc1 Bb5 Rc3
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,Yurovskykh_Oleksandr,1-0,8/7p/3k1p2/8/1NK5/1P2PP2/P3n1PP/8 b - -,UTC,D45,https://www.chess.com/openings/Semi-Slav-Defense-Main-Line-Normal-Variation...8.b3-b6-9.Bb2-Bb7,2023.01.03,21:59:55,3163,2525,180+1,MagnusCarlsen won by resignation,21:59:55,2023.01.03,22:06:26,https://www.chess.com/game/live/66522161917,e3 d5 c4 c6 Nf3 Nf6 Nc3 e6 b3 Bd6 Bb2 O-O d4 Nbd7 Be2 b6 O-O Bb7 Rc1 Rc8 cxd5 cxd5 Nb5 Bb8 Rxc8 Qxc8 Ba3 Rd8 Qb1 Ba6 Rc1 Qb7 Qc2 Rc8 Qxc8+ Qxc8 Rxc8+ Bxc8 Nd6 Bxd6 Bxd6 Ne4 Bb4 a5 Be1 f6 Kf1 Nb8 Ng1 Ba6 f3 Nd6 Bg3 Bxe2+ Nxe2 e5 dxe5 Nf5 exf6 Nxg3+ Nxg3 gxf6 Nh5 Kf7 Nf4 Nc6 Nxd5 b5 Ke2 b4 Kd3 Ke6 Nb6 Kd6 Kc4 Ne5+ Kb5 Nd3 Nc4+ Kd5 Nxa5 Nc1 Nc6 Kd6 Nxb4 Ne2 Kc4
Live Chess,Chess.com,2023.01.03,-,CrushingKings,MagnusCarlsen,0-1,8/5ppk/4p2p/3pPb2/5P2/1R3qP1/5nQP/5rBK w - -,UTC,A07,https://www.chess.com/openings/Kings-Indian-Attack...4.Bg2-Nb4-5.Na3-e6-6.O-O,2023.01.03,22:11:01,2663,3164,180+1,MagnusCarlsen won by checkmate,22:11:01,2023.01.03,22:18:38,https://www.chess.com/game/live/66522782507,Nf3 d5 g3 Nc6 d4 Bf5 Bg2 Nb4 Na3 e6 O-O Nf6 c3 Nc6 Nc2 h6 Ne3 Be4 c4 Bd6 b3 O-O Bb2 a5 a3 Re8 Rc1 Nb8 Qd2 c6 c5 Bc7 Ne5 Nbd7 f3 Bh7 Rfd1 Nxe5 dxe5 Nd7 f4 b6 cxb6 Bxb6 Rxc6 Rc8 Rdc1 Rxc6 Rxc6 Qb8 Kh1 Nc5 b4 Ne4 Qc1 axb4 axb4 Bxe3 Qxe3 Qxb4 Bd4 Qe1+ Qg1 Qxe2 Rc1 Bf5 Re1 Qh5 Re3 Rc8 Bf3 Bg4 Bg2 Rc2 Rb3 Kh7 Qe1 Re2 Qb1 Bf5 Qg1 Rd2 Be3 Rd1 Bf1 Qf3+ Qg2 Rxf1+ Bg1 Nf2#
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,Abund,1-0,6k1/p7/1p5R/3P4/5pB1/8/P3KP2/8 b - -,UTC,A00,https://www.chess.com/openings/Kadas-Opening-1...d5-2.d4,2023.01.03,22:21:00,3166,2789,180+1,MagnusCarlsen won by resignation,22:21:00,2023.01.03,22:28:13,https://www.chess.com/game/live/66523376599,h4 d5 d4 Nf6 e3 e6 Nf3 Be7 c4 b6 Nc3 Bb7 cxd5 Nxd5 Bd3 Nd7 e4 Nxc3 bxc3 O-O e5 c5 Bxh7+ Kh8 Bc2 f5 Ng5 Qe8 Nxe6 cxd4 Nxf8 Nxe5 Ne6 Bxg2 Bf4 Nf3+ Ke2 Bd6 Bxf5 Bxf4 Qd3 Rd8 Rhd1 Rd5 cxd4 Nxh4 Bg4 Kg8 Rh1 g5 Rag1 Bxh1 Rxh1 Rd6 d5 Qf7 Qe4 Qf6 Nxf4 Qxf4 Qxf4 gxf4 Rxh4 Rh6 Rxh6
Live Chess,Chess.com,2023.01.03,-,penguingm1,MagnusCarlsen,1/2-1/2,8/8/1pK1Bk2/p1b2P2/P1P5/8/8/8 w - -,UTC,D00,https://www.chess.com/openings/Queens-Pawn-Opening-Accelerated-London-Steinitz-Countergambit-3.e3-cxd4-4.exd4-Nc6,2023.01.03,22:31:56,2912,3161,180+1,Game drawn by repetition,22:31:56,2023.01.03,22:40:50,https://www.chess.com/game/live/66524003183,d4 d5 Bf4 c5 e3 cxd4 exd4 Nc6 Nf3 Bf5 Nbd2 e6 c3 h6 Qb3 Qc8 Ne5 Nge7 Be2 Nxe5 Bxe5 Nc6 Nf3 Nxe5 Nxe5 Bd6 Bb5+ Ke7 Bd3 Bxe5 Bxf5 Bd6 Bd3 h5 O-O Qc7 g3 h4 Kg2 g6 Rae1 Kf6 Qd1 Rh5 Qg4 Rah8 Re3 Qe7 Rfe1 hxg3 hxg3 Rh2+ Kf1 Kg7 Bxg6 Rh1+ Ke2 Rxe1+ Kxe1 Rh6 Bd3+ Kf8 Kd2 Qf6 Qe2 Rh2 Rf3 Qh6+ Kc2 Ke7 a4 a6 Kb1 Qg5 Ka2 Qc1 Qc2 Qxc2 Bxc2 Rh1 Bd3 Re1 Kb3 Rd1 Kc2 Ra1 Kb3 Rd1 Re3 Rd2 Be2 f5 Bf3 Kf6 Re2 Rxe2 Bxe2 a5 Kc2 b6 Kd3 Bf8 b3 Ba3 Bf3 Bf8 c4 dxc4+ bxc4 e5 dxe5+ Kxe5 Bg2 Bc5 Ke2 Kd4 Bd5 Ke5 Bc6 Kf6 Bb5 Bd6 Kf3 Bc5 Kg2 Bd6 f4 Bc5 Kf3 Bd6 Bd7 Bc5 Bc8 Bd6 g4 fxg4+ Kxg4 Bc5 Kf3 Bd6 Ke4 Bc5 Kd5 Bb4 f5 Bc5 Kc6 Bd4 Be6 Bc5 Kb5 Bd4 Kc6 Bc5 Kd5 Bb4 Kc6 Bc5
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,BrandonJacobson,1-0,5B2/5Qbk/6p1/8/6qp/6P1/P3PPK1/8 b - -,UTC,A04,https://www.chess.com/openings/Reti-Opening-Nimzo-Larsen-Variation...3.Bb2-Bg7-4.g3-O-O-5.Bg2,2023.01.03,22:48:38,3164,2935,180+1,MagnusCarlsen won on time,22:48:38,2023.01.03,22:56:09,https://www.chess.com/game/live/66525117531,b3 Nf6 Bb2 g6 g3 Bg7 Bg2 O-O Nf3 b6 Ne5 d5 O-O Bb7 c4 e6 d4 Qe7 Nc3 Rd8 Rc1 c5 dxc5 bxc5 cxd5 exd5 Nd3 c4 bxc4 dxc4 Ba3 Qc7 Nb5 Qb6 Bxb7 Qxb7 Nc5 Qb6 Qa4 a6 Nc3 Rc8 Qxc4 Nbd7 Nd5 Nxd5 Qxd5 Nxc5 Rxc5 Rd8 Qf3 Qe6 Rc2 h5 h4 Be5 Rfc1 Rac8 Rxc8 Rxc8 Rxc8+ Qxc8 Qd5 Bf6 Bc5 Kg7 Kg2 Qg4 Qd3 Bxh4 Qxa6 Bf6 Qd6 h4 Qf8+ Kh7 Qxf7+ Bg7 Bf8
Live Chess,Chess.com,2023.01.03,-,MITerryble,MagnusCarlsen,0-1,3r2k1/5p2/6p1/7q/p1p1Q1R1/P1P2P2/1P1rR1K1/8 w - -,UTC,D02,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Variation...3.Bf4-e6-4.e3-Bd6,2023.01.03,22:59:56,2925,3167,180+1,MagnusCarlsen won on time,22:59:56,2023.01.03,23:07:26,https://www.chess.com/game/live/66525743093,d4 d5 Nf3 Bf5 Bf4 e6 e3 Bd6 Bd3 Ne7 O-O Bxf4 exf4 Nd7 c3 O-O Bxf5 Nxf5 Nbd2 c5 Nb3 b6 Re1 Qc7 g3 Rac8 Rc1 Nd6 Qe2 a5 Nbd2 a4 a3 Nf6 Kg2 Nf5 Qd3 Qb7 h3 Rc7 g4 Nd6 Ne5 Nfe4 f3 Nxd2 Qxd2 Qa6 f5 exf5 dxc5 Nc4 Nxc4 dxc4 Qd6 Rxc5 Rcd1 Qc8 Re7 fxg4 hxg4 h5 Rd4 hxg4 Rxg4 Qf5 Re2 Rd5 Qxb6 Rfd8 Qc6 Rd2 Qe4 Qc5 Kh3 Qh5+ Kg2 g6
Live Chess,Chess.com,2023.01.03,-,GM_dmitrij,MagnusCarlsen,1-0,r1b5/1p4k1/p4p1n/6R1/5QP1/1Bq5/PPP5/2KR4 b - -,UTC,B06,https://www.chess.com/openings/Modern-Defense-Norwegian-Defense-3.e5-Nh5,2023.01.03,23:10:13,3034,3156,180+1,GM_dmitrij won by resignation,23:10:13,2023.01.03,23:16:40,https://www.chess.com/game/live/66526341893,e4 g6 d4 Nf6 e5 Nh5 f4 d6 Nc3 Bh6 Qf3 Nc6 Be3 dxe5 dxe5 Nd4 Qf2 c5 O-O-O Qa5 Nge2 Ng7 Nxd4 cxd4 Bb5+ Kf8 Bxd4 Nf5 Bc5 a6 Bc4 Bxf4+ Qxf4 Qxc5 Rhe1 h5 h3 Kg7 g4 hxg4 hxg4 Rh4 Bb3 Nh6 Rh1 f6 Rxh4 g5 exf6+ exf6 Rh5 Qxc3 Rxg5+
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,TigrVShlyape,1-0,6k1/8/1ppq4/p1n2P2/P7/1PQ3P1/2P2N2/6K1 b - -,UTC,A06,https://www.chess.com/openings/Reti-Opening-Nimzowitsch-Larsen-Attack...3.Bb2-e6-4.g3-Nf6,2023.01.03,23:20:30,3159,2906,180+1,MagnusCarlsen won on time,23:20:30,2023.01.03,23:27:48,https://www.chess.com/game/live/66526946199,b3 d5 Bb2 Bf5 Nf3 e6 g3 Nf6 d3 h6 Nbd2 a5 a3 Nbd7 Bg2 Bh7 O-O Bc5 e4 dxe4 dxe4 O-O Qe2 Qe7 Ne1 e5 Nd3 Bd4 Bxd4 exd4 a4 Nd5 Rfe1 Nc3 Qf1 Rad8 Nc4 b6 f3 Rfe8 Qf2 Nc5 Bf1 f6 Nf4 Kh8 h4 g5 Nd5 Qf7 Nxc3 dxc3 hxg5 fxg5 Rad1 Qf6 Ne3 c6 Ng4 Qg7 Qe3 h5 Nf2 g4 Rxd8 Rxd8 fxg4 hxg4 Be2 Rd2 Rd1 Rxd1+ Bxd1 Qd7 Qxc3+ Kg8 Bxg4 Qd6 Bf5 Bxf5 exf5
Live Chess,Chess.com,2023.01.03,-,DanielDardha2005,MagnusCarlsen,1-0,6k1/5p1Q/6P1/5p2/8/2q1P2P/1p4P1/7K b - -,UTC,A45,https://www.chess.com/openings/Trompowsky-Attack-2...g6-3.Bxf6-exf6-4.e3,2023.01.03,23:36:02,2993,3147,180+1,DanielDardha2005 won on time,23:36:02,2023.01.03,23:43:45,https://www.chess.com/game/live/66528052193,d4 Nf6 Bg5 g6 Bxf6 exf6 e3 f5 c4 d5 Nc3 dxc4 Bxc4 Bd6 Nf3 Nd7 O-O O-O a3 a6 b4 Nf6 Qc2 Qe7 Nd5 Nxd5 Bxd5 a5 Qb3 c6 Bc4 axb4 axb4 Rxa1 Rxa1 Bxb4 Ra8 Bd6 h3 Kg7 Qb2 b5 Bd3 Qf6 Ne5 Bxe5 dxe5 Qe7 Qc3 Be6 Rxf8 Qxf8 Qxc6 b4 Bc4 Qe7 Bxe6 Qxe6 Qb5 Qe7 f4 h5 Kh2 h4 Qb6 Kh7 Qb5 Kg7 Qb6 g5 fxg5 Qxe5+ Kh1 Qa1+ Kh2 Qe5+ Kh1 Qc3 Qh6+ Kg8 Qxh4 b3 g6 b2 Qh7+
Live Chess,Chess.com,2023.01.03,-,MarcoRiehle,MagnusCarlsen,0-1,4r1k1/pp3p2/1q4p1/3p3p/3n2nP/1N6/PPR2PP1/3Q2K1 w - -,UTC,A40,https://www.chess.com/openings/Modern-Defense-with-1-d4...3.e4-e6-4.Nc3-Ne7,2023.01.03,23:45:29,2771,3149,180+1,MagnusCarlsen won by resignation,23:45:29,2023.01.03,23:49:13,https://www.chess.com/game/live/66528638253,e4 g6 d4 Bg7 c4 e6 Nc3 Ne7 Nf3 d5 cxd5 exd5 e5 O-O Bd3 c5 dxc5 Bg4 Bf4 Nbc6 Be2 Qa5 O-O Rad8 Nd4 Bxe2 Ncxe2 Qxc5 Rc1 Qb6 Nb3 Bxe5 Bxe5 Nxe5 Ned4 N7c6 Re1 Rfe8 h4 h5 Rc3 Ng4 Rxe8+ Rxe8 Rc2 Nxd4
Live Chess,Chess.com,2023.01.03,-,MagnusCarlsen,exoticprincess,1-0,4Q3/5pk1/7p/2K5/2B2P2/8/8/3r4 b - -,UTC,A00,https://www.chess.com/openings/Kadas-Opening-1...d5-2.d4-c5,2023.01.03,23:56:49,3154,2984,180+1,MagnusCarlsen won on time,23:56:49,2023.01.04,00:04:30,https://www.chess.com/game/live/66529265959,h4 d5 d4 c5 e3 Nc6 c4 cxd4 exd4 Nf6 Nc3 e6 Nf3 Be7 Bd3 dxc4 Bxc4 O-O O-O b6 Re1 Bb7 a3 h6 Ba2 Re8 Qd3 Bd6 Ne4 Nxe4 Qxe4 Na5 Qg4 Bxf3 gxf3 Qf6 Bd2 Rad8 Bc3 Qf4 Qxf4 Bxf4 Re4 Bd6 d5 e5 Rae1 Nb7 f4 Nc5 fxe5 Nxe4 Rxe4 Rc8 f4 Bxa3 Kf2 g6 Kf3 b5 d6 Red8 Ba5 Bc5 Bxd8 Rxd8 h5 gxh5 Re2 Bxd6 exd6 Rxd6 Re7 Rf6 Rxa7 Kg7 Rb7 Rf5 Bb1 Rc5 Bd3 h4 Rxb5 Rc1 Rh5 Rh1 b4 Rh3+ Ke2 Rh2+ Ke3 Rh3+ Kd4 Rh1 b5 h3 b6 h2 b7 Re1 b8=Q h1=Q Rxh1 Rxh1 Qe5+ Kg8 Qe8+ Kg7 Bc4 Rd1+ Kc5
Live Chess,Chess.com,2023.01.04,-,jefferyx,MagnusCarlsen,1-0,8/8/p7/8/k1Q2K2/1p6/8/8 b - -,UTC,B06,https://www.chess.com/openings/Modern-Defense-with-1-e4-2.d4-Bg7-3.Nf3-d6-4.Be3,2023.01.04,20:17:16,2959,3142,180,jefferyx won by resignation,20:17:16,2023.01.04,20:23:28,https://www.chess.com/game/live/66602506657,d4 g6 e4 Bg7 Nf3 d6 Be3 a6 c4 Nh6 h3 f5 e5 dxe5 Nxe5 O-O Qd2 Nf7 Nxf7 Rxf7 Nc3 e5 O-O-O Nc6 dxe5 Qxd2+ Bxd2 Bxe5 Be2 Be6 Rhe1 Re8 Bf3 Bg7 Bd5 Rfe7 Rxe6 Rxe6 Re1 Kf7 Bf4 Nb4 Rxe6 Rxe6 Bxe6+ Kxe6 Kd2 Kd7 a3 Nc6 b4 Nd4 Kd3 Ne6 Be3 Bxc3 Kxc3 b5 Kb3 c6 f4 Kd6 a4 h6 a5 g5 g3 g4 hxg4 fxg4 f5 Ng7 Bxh6 Nh5 Kc3 Ke5 f6 Nxf6 Bg7 Ke6 Bxf6 Kxf6 cxb5 cxb5 Kd4 Ke6 Ke4 Kd6 Kd4 Kc6 Ke5 Kc7 Kd5 Kd7 Ke5 Kc6 Ke6 Kc7 Kf5 Kd6 Kxg4 Kd5 Kf4 Kc4 g4 Kxb4 g5 Kxa5 g6 Ka4 g7 b4 g8=Q b3 Qc4+
Live Chess,Chess.com,2023.01.04,-,MagnusCarlsen,jefferyx,1-0,8/8/4p1R1/p6p/P4q1k/1P6/2P4r/1K2Q3 b - -,UTC,B23,https://www.chess.com/openings/Magnus-Sicilian...5.Qd2-g6-6.b3-Bh6-7.f4,2023.01.04,20:23:45,3146,2955,180,MagnusCarlsen won on time,20:23:45,2023.01.04,20:29:16,https://www.chess.com/game/live/66603003689,e4 c5 Nc3 d6 d4 cxd4 Qxd4 Nc6 Qd2 g6 b3 Bh6 f4 Nf6 Bb2 e5 g3 a5 a4 O-O O-O-O Be6 Kb1 Rc8 Bh3 Nd4 Bxe6 fxe6 Nge2 Nxe2 Qxe2 exf4 Nb5 Ne8 Qg4 Qe7 e5 dxe5 Ba3 Qf6 Bxf8 Bxf8 Rd7 Bg7 Rxb7 h5 Qf3 e4 Rxg7+ Kxg7 Qxe4 Rc5 gxf4 Rd5 Re1 Nd6 Nxd6 Rxd6 Qb7+ Kh6 Qa8 Qxf4 Qh8+ Kg5 Rg1+ Kh4 Qc3 Rd2 Rxg6 Rxh2 Qe1+
Live Chess,Chess.com,2023.01.04,-,jefferyx,MagnusCarlsen,0-1,r2q3k/pp3ppp/2p5/2NN4/3P4/2P5/PP4nP/2R2RK1 w - -,UTC,A03,https://www.chess.com/openings/Birds-Opening-Horsefly-Defense,2023.01.04,20:29:23,2951,3150,180,MagnusCarlsen won by resignation,20:29:23,2023.01.04,20:33:33,https://www.chess.com/game/live/66603159799,f4 Nh6 Nh3 d5 Nf2 Nc6 e3 e5 fxe5 Nxe5 Be2 Bd6 d4 Ng6 Nc3 c6 e4 dxe4 Ncxe4 Bf4 O-O O-O c3 Nf5 Qd3 Bxc1 Raxc1 Nf4 Qd2 Nxe2+ Qxe2 Re8 Qf3 Be6 Nc5 Nh4 Qg3 Bd5 Ng4 Re2 Nf6+ Kh8 Nxd5 Rxg2+ Qxg2 Nxg2
Live Chess,Chess.com,2023.01.04,-,MagnusCarlsen,jefferyx,0-1,2bk4/pp4p1/4r3/q7/3P4/KP6/P7/R7 w - -,UTC,A00,https://www.chess.com/openings/Kings-Fianchetto-Opening-1...d5-2.Bg2-e5,2023.01.04,20:33:39,3138,2963,180,jefferyx won by resignation,20:33:39,2023.01.04,20:39:05,https://www.chess.com/game/live/66603605051,g3 d5 Bg2 e5 e3 h5 d4 e4 c4 c6 f3 f5 Nc3 Nf6 Nh3 h4 Nf4 Bd6 cxd5 cxd5 Ncxd5 Nxd5 Nxd5 hxg3 fxe4 fxe4 hxg3 Rxh1+ Bxh1 Bxg3+ Kd2 Qxd5 Qg1 Qg5 Bxe4 Nc6 Kc3 Be6 b3 Rc8 Kb2 Qg4 Bd2 Qxe4 Qxg3 Nxd4 exd4 Qc2+ Ka3 Qxd2 Qe5 Rc6 Qb8+ Bc8 Qe5+ Re6 Qb5+ Kd8 Qa5+ Qxa5+
Live Chess,Chess.com,2023.01.04,-,jefferyx,MagnusCarlsen,0-1,2rqbrk1/pp4pp/2n1p3/3p2b1/3Pn1PP/3BNN2/PP3P2/R2Q1K1R w - -,UTC,C02,https://www.chess.com/openings/French-Defense-Advance-Paulsen-Euwe-Variation...7.Na3-cxd4-8.cxd4-Nf5-9.Nc2,2023.01.04,20:39:13,2959,3142,180,MagnusCarlsen won by resignation,20:39:13,2023.01.04,20:41:21,https://www.chess.com/game/live/66603756035,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 Be2 cxd4 cxd4 Nge7 Na3 Nf5 Nc2 Be7 g3 O-O h4 Rc8 Kf1 f6 exf6 Bxf6 Bg5 Be8 g4 Nd6 Ne3 Ne4 Bd3 Bxg5
Live Chess,Chess.com,2023.01.04,-,MagnusCarlsen,jefferyx,0-1,8/7r/5pk1/3R4/3P4/3K1p2/4N1n1/8 w - -,UTC,D35,https://www.chess.com/openings/Queens-Gambit-Declined-Exchange-Variation-4...exd5-5.Bf4,2023.01.04,20:41:23,3130,2971,180,jefferyx won by resignation,20:41:23,2023.01.04,20:46:34,https://www.chess.com/game/live/66603817247,d4 Nf6 c4 e6 Nc3 d5 cxd5 exd5 Bf4 Bd6 Bxd6 Qxd6 e3 c6 Bd3 Bg4 Qb3 Qc7 Rc1 Qb6 f3 Bh5 g4 Bg6 Bxg6 hxg6 g5 Nh7 f4 Na6 Nf3 Nf8 Kf2 Ne6 h4 Qxb3 axb3 Nb4 Ra1 f6 Ra4 Na6 Rha1 Kd7 b4 Nec7 b5 Nxb5 Nxb5 cxb5 Ra5 Kc6 Rg1 Rhg8 Raa1 Nb4 Ke2 Kd6 gxf6 gxf6 f5 gxf5 Rxg8 Rxg8 Rxa7 Rg2+ Kf1 Rxb2 Rxb7 Nc2 Rb6+ Ke7 h5 Nxe3+ Ke1 f4 Rb7+ Kd6 h6 Rb1+ Ke2 Rh1 h7 Ke6 Kd3 Kf5 Ng1 Kg6 Ne2 Ng2 Rxb5 Rxh7 Rxd5 f3
